,itsGD,run_time,alpha,beta
0,11.0,0.01096487045288086,0.49000000000000005,0.9
1,7.0,0.009209156036376953,0.47000000000000003,0.93
2,8.0,0.036856651306152344,0.5,0.9
3,10.0,0.015595197677612305,0.5,0.9500000000000001
4,11.0,0.011472225189208984,0.39000000000000007,0.7000000000000001
5,7.0,0.009510993957519531,0.48000000000000004,0.93
6,11.0,0.011015176773071289,0.39000000000000007,0.7000000000000001
7,14.0,0.014203071594238281,0.37000000000000005,0.67
8,10.0,0.009866952896118164,0.39000000000000007,0.7300000000000001
9,7.0,0.008723974227905273,0.47000000000000003,0.92
10,9.0,0.012801170349121094,0.49000000000000005,0.9500000000000001
11,7.0,0.009532928466796875,0.47000000000000003,0.92
12,7.0,0.008231163024902344,0.46,0.92
13,7.0,0.00817561149597168,0.46,0.92
14,13.0,0.0118255615234375,0.4000000000000001,0.7000000000000001
15,12.0,0.012561559677124023,0.4000000000000001,0.7000000000000001
16,10.0,0.010540485382080078,0.4200000000000001,0.7300000000000001
17,12.0,0.011932134628295898,0.37000000000000005,0.7000000000000001
18,9.0,0.01200246810913086,0.49000000000000005,0.93
19,11.0,0.011635303497314453,0.35000000000000003,0.7300000000000001
20,7.0,0.008896112442016602,0.48000000000000004,0.92
21,12.0,0.011629343032836914,0.37000000000000005,0.7300000000000001
22,7.0,0.008336067199707031,0.47000000000000003,0.92
23,7.0,0.009800434112548828,0.46,0.92
24,11.0,0.01385951042175293,0.49000000000000005,0.9
25,10.0,0.014007568359375,0.49000000000000005,0.93
26,9.0,0.009708166122436523,0.39000000000000007,0.7300000000000001
27,7.0,0.008790016174316406,0.49000000000000005,0.93
28,7.0,0.010746955871582031,0.49000000000000005,0.93
29,7.0,0.009799003601074219,0.46,0.92
30,17.0,0.016651630401611328,0.38000000000000006,0.5
31,10.0,0.010784626007080078,0.4200000000000001,0.7300000000000001
32,11.0,0.012246370315551758,0.35000000000000003,0.7000000000000001
33,7.0,0.010051250457763672,0.48000000000000004,0.92
34,7.0,0.009896039962768555,0.48000000000000004,0.93
35,10.0,0.010802507400512695,0.4000000000000001,0.7000000000000001
36,9.0,0.009838342666625977,0.38000000000000006,0.7300000000000001
37,7.0,0.010141134262084961,0.48000000000000004,0.93
38,18.0,0.01644134521484375,0.19000000000000006,0.5
39,13.0,0.015270709991455078,0.4100000000000001,0.7000000000000001
40,14.0,0.014318466186523438,0.38000000000000006,0.67
41,7.0,0.009927749633789062,0.47000000000000003,0.92
42,11.0,0.016443729400634766,0.39000000000000007,0.7000000000000001
43,17.0,0.015994548797607422,0.39000000000000007,0.5
44,10.0,0.010898828506469727,0.38000000000000006,0.7000000000000001
45,11.0,0.012958526611328125,0.49000000000000005,0.9
46,7.0,0.01057124137878418,0.47000000000000003,0.93
47,6.0,0.009141921997070312,0.48000000000000004,0.93
48,11.0,0.014171361923217773,0.5,0.9
49,16.0,0.0158538818359375,0.20000000000000007,0.5
