,itsGD,run_time,alpha,beta
0,23.0,0.05461764335632324,0.5499999999999999,0.63
1,14.0,0.11333680152893066,0.060000000000000005,0.3000000000000001
2,15.0,0.03960704803466797,0.3300000000000001,0.5499999999999999
3,16.0,0.039481163024902344,0.15000000000000002,0.3000000000000001
4,11.0,0.026395797729492188,0.15000000000000002,0.47000000000000003
5,13.0,0.028599262237548828,0.5599999999999999,0.21000000000000008
6,25.0,0.05917787551879883,0.060000000000000005,0.4000000000000001
7,13.0,0.029635906219482422,0.05,0.47000000000000003
8,11.0,0.0251619815826416,0.15000000000000002,0.5
9,8.0,0.020277023315429688,0.15000000000000002,0.15000000000000002
10,12.0,0.029196739196777344,0.38000000000000006,0.4000000000000001
11,9.0,0.0215604305267334,0.05,0.47000000000000003
12,11.0,0.027859210968017578,0.36000000000000004,0.65
13,14.0,0.033136844635009766,0.35000000000000003,0.47000000000000003
14,13.0,0.031003713607788086,0.1,0.39000000000000007
15,9.0,0.021411657333374023,0.060000000000000005,0.3000000000000001
16,11.0,0.02622389793395996,0.060000000000000005,0.3000000000000001
17,13.0,0.03177046775817871,0.15000000000000002,0.47000000000000003
18,13.0,0.030934810638427734,0.2300000000000001,0.3100000000000001
19,13.0,0.03371620178222656,0.3000000000000001,0.7000000000000001
20,12.0,0.030567407608032227,0.07,0.6
21,9.0,0.02231144905090332,0.060000000000000005,0.3000000000000001
22,16.0,0.0394442081451416,0.45,0.64
23,14.0,0.03490924835205078,0.35000000000000003,0.5
24,11.0,0.02980804443359375,0.4000000000000001,0.57
25,10.0,0.029768943786621094,0.4200000000000001,0.7000000000000001
26,13.0,0.03296375274658203,0.35000000000000003,0.63
27,14.0,0.035759925842285156,0.45,0.63
28,9.0,0.02687382698059082,0.4200000000000001,0.8300000000000001
29,13.0,0.03064894676208496,0.05,0.46
30,12.0,0.02914142608642578,0.15000000000000002,0.3000000000000001
31,16.0,0.04109835624694824,0.38000000000000006,0.61
32,10.0,0.025003910064697266,0.15000000000000002,0.3000000000000001
33,10.0,0.023461341857910156,0.19000000000000006,0.53
34,15.0,0.03778266906738281,0.25000000000000006,0.51
35,12.0,0.06541109085083008,0.49000000000000005,0.9500000000000001
36,16.0,0.04142022132873535,0.45,0.67
37,12.0,0.027693986892700195,0.060000000000000005,0.3000000000000001
38,9.0,0.028293609619140625,0.15000000000000002,0.54
39,14.0,0.03604888916015625,0.5499999999999999,0.7000000000000001
40,19.0,0.0677042007446289,0.5599999999999999,0.9
41,10.0,0.023600101470947266,0.3300000000000001,0.47000000000000003
42,22.0,0.05487632751464844,0.51,0.6
43,10.0,0.05075216293334961,0.5,0.9500000000000001
44,10.0,0.024779319763183594,0.25000000000000006,0.53
45,8.0,0.02053093910217285,0.2800000000000001,0.67
46,13.0,0.03165888786315918,0.060000000000000005,0.3000000000000001
47,11.0,0.03434491157531738,0.47000000000000003,0.85
48,12.0,0.03525114059448242,0.3000000000000001,0.8
49,16.0,0.03658008575439453,0.060000000000000005,0.3000000000000001
