,itsGD,run_time,alpha,beta
0,9,0.011684417724609,0.49,0.93
1,9,0.011435747146607,0.49,0.93
2,8,0.010089159011841,0.46,0.92
3,15,0.012457847595215,0.41,0.67
4,12,0.011635303497315,0.4,0.7
5,8,0.009679555892944,0.49,0.92
6,9,0.012505769729614,0.49,0.93
7,14,0.01565146446228,0.51,0.9
8,7,0.008659601211548,0.47,0.92
9,8,0.009661197662354,0.48,0.92
10,18,0.016539335250855,0.35,0.49
11,8,0.009879112243652,0.49,0.92
12,13,0.011531352996826,0.39,0.7
13,8,0.010450601577759,0.47,0.93
14,10,0.014325380325317,0.49,0.93
15,15,0.013623714447022,0.41,0.7
16,13,0.015404224395752,0.5,0.9
17,21,0.017697334289551,0.27,0.49
18,12,0.013542175292969,0.49,0.9
19,13,0.012717723846436,0.39,0.7
20,9,0.010554790496826,0.47,0.93
21,8,0.01106595993042,0.48,0.93
22,19,0.017576932907105,0.05,0.5
23,11,0.013197898864746,0.49,0.9
24,13,0.013400793075562,0.39,0.7
25,15,0.013861417770386,0.4,0.7
26,12,0.011790275573731,0.35,0.7
27,9,0.012355327606201,0.47,0.93
28,9,0.010293006896973,0.47,0.93
29,8,0.010873556137085,0.47,0.93
30,11,0.013033390045166,0.5,0.9
31,8,0.010212898254395,0.49,0.92
32,8,0.01075291633606,0.46,0.92
33,9,0.011938333511353,0.47,0.93
34,9,0.013041019439697,0.49,0.93
35,10,0.01270318031311,0.48,0.9
36,14,0.013779401779175,0.36,0.67
37,13,0.012181520462036,0.39,0.7
38,12,0.011763334274292,0.39,0.7
39,11,0.011831045150757,0.5,0.9
40,9,0.012166261672974,0.49,0.93
41,8,0.010378122329712,0.48,0.92
42,9,0.010251998901367,0.49,0.93
43,19,0.016337633132935,0.37,0.5
44,8,0.009033679962158,0.46,0.92
45,13,0.015212059020996,0.49,0.9
46,9,0.011948585510254,0.48,0.93
47,18,0.016603946685791,0.15,0.5
48,7,0.008060693740845,0.48,0.92
49,13,0.011798858642578,0.4,0.7
