,itsNAG,run_time,t,m
0,10001.0,0.0034835338592529297,0.05,0.05
1,10001.0,0.008336782455444336,0.05,0.05
2,11.0,0.007514476776123047,0.20000000000000007,0.19000000000000006
3,10001.0,0.0035974979400634766,0.05,0.05
4,13.0,0.008914470672607422,0.21000000000000008,0.3200000000000001
5,10001.0,0.0041925907135009766,0.05,0.05
6,15.0,0.010297775268554688,0.19000000000000006,0.3100000000000001
7,10001.0,0.004162788391113281,0.05,0.05
8,9.0,0.00615692138671875,0.22000000000000008,0.34000000000000014
9,14.0,0.009742021560668945,0.2900000000000001,0.14
10,10001.0,0.004003286361694336,0.05,0.05
11,10001.0,0.0035512447357177734,0.05,0.05
12,10001.0,0.00420379638671875,0.05,0.05
13,16.0,0.010727167129516602,0.2900000000000001,0.21000000000000008
14,10001.0,0.004125833511352539,0.05,0.05
15,46.0,0.031703948974609375,0.07,0.060000000000000005
16,15.0,0.010080814361572266,0.11000000000000001,0.4400000000000001
17,10001.0,0.0036945343017578125,0.05,0.05
18,18.0,0.01230764389038086,0.12000000000000001,0.4000000000000001
19,10001.0,0.004359722137451172,0.05,0.05
20,10001.0,0.003412485122680664,0.05,0.05
21,11.0,0.0075664520263671875,0.08000000000000002,0.51
22,10001.0,0.003782987594604492,0.05,0.05
23,23.0,0.016098499298095703,0.1,0.07
24,19.0,0.014095544815063477,0.2700000000000001,0.15000000000000002
25,14.0,0.010581254959106445,0.11000000000000001,0.4300000000000001
26,10001.0,0.005331754684448242,0.05,0.05
27,10001.0,0.005055904388427734,0.05,0.05
28,10001.0,0.005079507827758789,0.05,0.05
29,17.0,0.016820192337036133,0.2700000000000001,0.2300000000000001
30,11.0,0.0070459842681884766,0.21000000000000008,0.3200000000000001
31,11.0,0.007503986358642578,0.2300000000000001,0.2700000000000001
32,12.0,0.008410453796386719,0.19000000000000006,0.3100000000000001
33,12.0,0.008544921875,0.20000000000000007,0.3100000000000001
34,10001.0,0.0035228729248046875,0.05,0.05
35,10001.0,0.0035936832427978516,0.05,0.05
36,10001.0,0.004286766052246094,0.05,0.05
37,10.0,0.006956815719604492,0.22000000000000008,0.3100000000000001
38,10001.0,0.003604412078857422,0.05,0.05
39,13.0,0.018128395080566406,0.2900000000000001,0.22000000000000008
40,50.0,0.034076690673828125,0.05,0.13
41,10.0,0.006891965866088867,0.21000000000000008,0.2900000000000001
42,16.0,0.011118888854980469,0.2900000000000001,0.21000000000000008
43,10001.0,0.0048635005950927734,0.05,0.05
44,10001.0,0.003523111343383789,0.05,0.05
45,16.0,0.011120080947875977,0.1,0.4400000000000001
46,10001.0,0.0043354034423828125,0.05,0.05
47,7.0,0.00486445426940918,0.2300000000000001,0.15000000000000002
48,13.0,0.009099960327148438,0.2300000000000001,0.2800000000000001
49,8.0,0.005609989166259766,0.2300000000000001,0.26000000000000006
